Crop,State,District,Soil,Season,SowingMonth,MinTemp,MaxTemp,SoilPHMin,SoilPHMax,MinRainfall,MaxRainfall
Bajara,Madhya Pradesh,BETUL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BHIND,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BHOPAL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BURHANPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,CHHATARPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,CHHINDWARA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DATIA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DEWAS,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DHAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,GUNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,GWALIOR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,HARDA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,HOSHANGABAD,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,INDORE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,JABALPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,JHABUA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,KHANDWA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,KHARGONE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MANDLA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MANDSAUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MORENA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,NARSINGHPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,NEEMUCH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,PANNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RAISEN,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RAJGARH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RATLAM,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,REWA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SATNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SEHORE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SEONI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHAHDOL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHAJAPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHEOPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHIVPURI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SIDHI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SINGRAULI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,TIKAMGARH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,UJJAIN,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,UMARIA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,VIDISHA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,DIMAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,KIPHIRE,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,KOHIMA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,LONGLENG,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,MOKOKCHUNG,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,MON,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,PEREN,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,PHEK,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,TUENSANG,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,WOKHA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,ZUNHEBOTO,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,JOGULAMBA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,MEDAK,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,NAGARKURNOOL,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,NALGONDA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,RANGAREDDI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,SANGAREDDY,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Telangana,VIKARABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AGRA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,ALIGARH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,ALLAHABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AMBEDKAR NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AMETHI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AMROHA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AURAIYA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,AZAMGARH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BAGHPAT,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BAHRAICH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BALLIA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BANDA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BARABANKI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BAREILLY,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BUDAUN,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,BULANDSHAHR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,CHANDAULI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,CHITRAKOOT,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,DEORIA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,ETAH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,ETAWAH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,FAIZABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,FARRUKHABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,FATEHPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,FIROZABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,GHAZIPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,GORAKHPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,HAMIRPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,HAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,HARDOI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,HATHRAS,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,JALAUN,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,JAUNPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,JHANSI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KANNAUJ,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
